,School,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,SOS,name,weight,height
103,Notre Dame,91.0,33.0,23.2,3.0,6.4,0.466,1.7,2.7,0.627,1.3,3.8,0.35100000000000003,1.6,2.2,0.718,1.1,4.0,5.1,0.5,0.3,0.4,0.7,1.7,8.9,7.76,Nate Laszewski,227lb,6-10
104,Virginia,101.0,43.0,18.3,3.0,5.2,0.588,2.4,3.5,0.6829999999999999,0.6,1.6,0.386,0.9,1.4,0.679,1.2,3.3,4.5,0.6,0.3,1.6,0.9,2.0,7.6,8.58,Jay Huff,240lb,7-1
105,Duke,55.0,45.0,25.8,5.0,9.5,0.526,3.2,5.2,0.611,1.8,4.2,0.421,1.7,2.4,0.731,1.5,3.3,4.8,1.1,0.6,0.7,1.0,2.4,13.5,8.17,Matthew Hurt,235lb,6-9
106,Vermont,68.0,18.0,17.9,3.6,6.8,0.525,2.9,4.8,0.608,0.6,1.9,0.318,1.3,1.6,0.833,1.7,2.2,3.9,0.6,0.3,0.4,0.8,1.9,9.1,-5.54,Ryan Davis,250lb,6-8
107,Purdue-Fort Wayne,23.0,23.0,28.8,3.2,6.3,0.5,1.2,2.0,0.6,2.0,4.4,0.455,1.9,2.2,0.88,0.7,2.7,3.3,1.4,0.6,0.2,1.6,2.3,10.3,,Bobby Planutis,200lb,6-8
108,Colgate,115.0,3.0,16.4,2.3,5.4,0.422,0.8,1.6,0.5,1.5,3.8,0.389,1.1,1.3,0.805,0.4,1.8,2.2,0.8,0.5,0.1,0.6,1.1,7.1,-4.27,Jack Ferguson,180lb,6-3
109,Rice,48.0,35.0,21.5,3.4,5.1,0.654,3.4,5.0,0.6679999999999999,0.0,0.1,0.0,0.9,1.4,0.6920000000000001,2.3,4.6,6.8,2.3,0.6,0.7,1.9,1.7,7.6,-1.12,Max Fiedler,235lb,6-10
110,Toledo,23.0,20.0,28.6,4.2,7.0,0.593,3.4,5.0,0.672,0.8,2.0,0.391,2.2,2.7,0.823,2.0,2.4,4.4,1.4,0.5,1.3,0.9,2.6,11.3,-1.88,JT Shumate,210lb,6-7
111,Austin Peay,27.0,21.0,23.9,4.0,6.6,0.616,3.4,5.2,0.657,0.6,1.4,0.459,2.0,2.7,0.73,1.9,3.4,5.3,0.8,0.8,0.6,1.1,2.4,10.7,,Mike Peake,220lb,6-8
112,Davidson,50.0,22.0,24.8,3.5,7.2,0.489,1.7,2.7,0.619,1.9,4.5,0.412,1.7,2.0,0.879,1.0,2.5,3.5,1.6,0.6,0.2,1.2,1.8,10.6,3.51,Hyunjung Lee,210lb,6-7
113,Mississippi State,64.0,50.0,32.4,4.4,10.5,0.425,3.2,6.9,0.469,1.2,3.6,0.339,2.3,3.0,0.772,0.4,2.6,3.0,2.4,1.2,0.2,2.3,1.9,12.4,6.87,D.J. Stewart,205lb,6-6
114,Sam Houston State,91.0,59.0,25.1,4.9,11.0,0.448,3.4,6.6,0.508,1.6,4.4,0.358,2.0,2.8,0.698,1.0,3.4,4.4,1.5,1.0,0.3,2.0,1.8,13.4,-5.74,Zach Nutall,185lb,6-3
115,Loyola (IL),134.0,130.0,27.7,5.7,9.6,0.59,5.7,9.6,0.593,0.0,0.1,0.14300000000000002,2.3,3.4,0.667,1.9,5.1,7.1,2.8,0.8,0.9,2.0,1.5,13.7,0.89,Cameron Krutwig,255lb,6-9
116,Indiana,59.0,59.0,31.6,5.8,10.8,0.539,5.8,10.8,0.539,0.0,0.0,,4.5,6.7,0.6679999999999999,3.1,5.6,8.7,1.3,0.7,1.6,1.7,2.1,16.1,11.4,Trayce Jackson-Davis,245lb,6-9
117,Youngstown State,119.0,117.0,30.8,4.3,8.8,0.488,4.2,8.4,0.503,0.1,0.5,0.228,1.7,2.8,0.588,3.5,4.8,8.3,2.5,0.7,0.2,2.2,2.4,10.4,-4.39,Naz Bohannon,228lb,6-6
118,Houston,60.0,51.0,30.4,5.0,11.9,0.421,2.6,5.6,0.47,2.4,6.3,0.377,2.6,3.6,0.727,1.1,3.6,4.7,2.3,1.1,0.3,2.1,2.2,15.0,,Quentin Grimes,205lb,6-5
119,Liberty,99.0,63.0,27.9,3.7,8.6,0.4270000000000001,1.4,2.5,0.556,2.3,6.1,0.373,1.0,1.2,0.855,0.3,3.3,3.6,1.6,0.9,0.2,1.0,1.4,10.6,-5.76,Darius McGhee,160lb,5-9
120,Oakland,43.0,40.0,31.8,4.9,14.3,0.344,1.3,3.4,0.381,3.6,10.8,0.333,2.2,2.7,0.828,0.1,2.0,2.1,1.2,0.7,0.0,1.9,1.7,15.7,,Rashad Williams,185lb,6-2
121,Citadel,106.0,56.0,23.4,4.0,10.0,0.401,1.4,2.6,0.565,2.6,7.5,0.345,1.0,1.2,0.794,0.7,2.2,2.9,0.7,0.6,0.0,1.2,1.1,11.6,-1.34,Kaiden Rice,205lb,6-7
122,Ohio State,94.0,48.0,24.4,3.9,9.9,0.397,2.0,4.5,0.442,2.0,5.4,0.361,1.6,2.0,0.8,0.2,2.6,2.9,1.8,0.4,0.0,1.5,1.4,11.4,11.14,Duane Washington Jr.,210lb,6-3
123,Rice,58.0,21.0,21.2,3.6,8.8,0.406,1.5,3.5,0.415,2.1,5.3,0.401,1.7,2.2,0.768,0.5,2.9,3.4,0.8,0.4,0.0,1.3,1.3,10.9,-1.12,Quincy Olivari,190lb,6-2
124,Houston,59.0,45.0,27.8,3.6,9.8,0.373,1.4,3.1,0.442,2.3,6.7,0.342,1.3,1.6,0.8190000000000001,0.4,2.2,2.5,2.0,1.0,0.1,1.1,1.7,10.9,5.84,Marcus Sasser,190lb,6-1
125,Southeastern Louisiana,24.0,23.0,32.0,4.1,10.0,0.40700000000000003,2.8,6.2,0.45299999999999996,1.3,3.9,0.33299999999999996,6.4,8.0,0.802,0.8,2.3,3.0,2.2,1.0,0.1,3.4,3.0,15.9,,Keon Clergeot,190lb,6-1
126,Arkansas,32.0,32.0,33.8,5.2,12.1,0.4270000000000001,3.3,7.0,0.478,1.8,5.1,0.358,4.7,5.8,0.812,2.0,3.8,5.8,1.6,1.0,0.7,1.6,2.3,16.8,7.18,Moses Moody,205lb,6-6
127,Oregon State,127.0,127.0,33.9,4.3,10.3,0.424,3.0,6.3,0.476,1.3,3.9,0.338,3.5,4.5,0.7759999999999999,0.9,3.4,4.3,3.9,1.0,0.3,2.4,2.5,13.5,6.46,Ethan Thompson,195lb,6-5
128,Oklahoma,56.0,56.0,33.8,4.9,12.0,0.409,3.6,7.3,0.496,1.3,4.8,0.27699999999999997,5.1,6.0,0.857,0.7,4.6,5.4,3.7,0.9,0.3,2.7,1.8,16.3,,Austin Reaves,206lb,6-5
129,Vanderbilt,54.0,53.0,30.6,4.5,11.0,0.411,3.1,7.0,0.441,1.4,4.0,0.36,5.1,6.6,0.775,0.7,2.1,2.8,4.1,1.4,0.1,3.1,2.8,15.6,6.57,Scotty Pippen Jr.,170lb,6-1
130,Alabama,124.0,36.0,15.7,2.1,5.5,0.387,1.0,1.9,0.529,1.1,3.6,0.311,0.7,1.0,0.7190000000000001,0.8,2.5,3.3,0.6,0.4,0.5,0.9,1.3,6.1,9.44,Alex Reese,230lb,6-9
131,USC,33.0,1.0,14.9,2.3,4.3,0.5379999999999999,2.3,4.3,0.542,0.0,0.0,0.0,0.9,1.8,0.534,1.3,2.2,3.5,0.5,0.3,0.3,1.0,2.1,5.6,,Chevez Goodwin,215lb,6-9
132,Mississippi State,33.0,8.0,22.5,2.0,5.8,0.339,1.4,3.8,0.371,0.6,2.1,0.279,0.7,1.2,0.615,0.4,3.2,3.6,2.9,0.9,0.3,1.7,1.6,5.2,6.79,Deivon Smith,165lb,6-1
133,USC,33.0,30.0,28.7,3.5,8.2,0.424,2.4,5.4,0.444,1.1,2.8,0.385,1.8,2.6,0.701,0.8,4.2,5.0,2.7,0.6,0.3,1.7,1.8,9.8,,Drew Peterson,185lb,6-8
134,Alabama,129.0,101.0,23.8,2.6,6.0,0.441,2.4,5.1,0.469,0.3,0.9,0.28800000000000003,1.8,3.0,0.604,1.6,3.3,4.9,2.2,1.3,0.8,2.1,2.9,7.3,9.44,Herb Jones,210lb,6-8
135,Alabama,64.0,51.0,29.4,4.7,11.5,0.411,2.4,4.9,0.4920000000000001,2.3,6.5,0.35100000000000003,2.8,3.6,0.762,1.0,3.1,4.1,1.7,0.7,0.1,1.5,1.6,14.5,9.06,Jaden Shackelford,200lb,6-3
136,Oregon State,64.0,23.0,21.5,2.4,6.5,0.373,0.8,2.1,0.368,1.6,4.3,0.375,2.3,2.6,0.888,0.3,1.3,1.6,0.8,0.5,0.0,0.6,1.0,8.8,8.48,Jarod Lucas,195lb,6-3
137,Oregon State,33.0,10.0,16.2,1.9,5.2,0.368,0.9,2.7,0.322,1.0,2.5,0.42,0.9,1.1,0.857,0.5,1.9,2.4,0.6,0.2,0.1,0.9,1.7,5.8,,Maurice Calloo,225lb,6-10
138,USC,57.0,3.0,12.5,1.1,3.2,0.348,0.6,1.5,0.435,0.5,1.7,0.271,0.6,0.9,0.7120000000000001,0.4,1.6,2.0,0.6,0.3,0.2,0.8,0.9,3.3,8.94,Max Agbonkpolo,190lb,6-8
139,USC,33.0,32.0,32.3,4.9,11.0,0.446,2.9,5.8,0.49700000000000005,2.0,5.2,0.38799999999999996,1.8,2.3,0.7759999999999999,0.4,2.5,2.9,2.8,0.6,0.0,1.5,1.4,13.6,,Tahj Eaddy,165lb,6-2
140,Oregon State,125.0,77.0,20.8,1.5,4.0,0.384,0.7,1.5,0.463,0.8,2.5,0.337,1.2,1.5,0.7879999999999999,0.4,2.0,2.4,1.7,0.6,0.1,1.1,1.7,5.2,6.46,Zach Reichle,205lb,6-5
141,UCLA,63.0,55.0,30.9,3.8,8.1,0.472,2.8,5.3,0.5329999999999999,1.0,2.8,0.35600000000000004,2.0,2.9,0.696,1.8,3.7,5.5,1.5,1.3,0.5,1.4,2.4,10.6,9.78,Jaime Jaquez Jr.,220lb,6-6
142,Illinois,126.0,107.0,30.2,3.7,9.6,0.389,1.8,4.2,0.429,2.0,5.5,0.358,1.9,2.5,0.764,0.2,2.0,2.3,2.6,1.3,0.0,1.7,2.3,11.4,10.06,Trent Frazier,175lb,6-2
143,St. Bonaventure,86.0,86.0,38.0,5.1,11.9,0.4270000000000001,4.0,8.5,0.476,1.1,3.5,0.31,3.0,3.7,0.82,0.7,2.1,2.8,5.0,1.4,0.1,2.3,2.1,14.3,2.12,Kyle Lofton,190lb,6-3
144,Dayton,118.0,108.0,34.7,4.6,10.4,0.441,2.6,5.0,0.514,2.1,5.5,0.375,2.2,2.9,0.769,0.3,3.1,3.5,4.9,0.9,0.1,2.4,1.8,13.5,3.41,Jalen Crutcher,175lb,6-1
145,Siena,92.0,71.0,28.2,3.2,7.0,0.457,2.8,5.7,0.5,0.4,1.3,0.276,2.7,4.4,0.604,2.0,5.1,7.1,1.9,0.8,0.3,1.9,2.2,9.4,-5.93,Manny Camper,216lb,6-7
146,NJIT,114.0,85.0,33.4,5.5,12.8,0.428,3.7,7.8,0.48,1.7,5.0,0.34700000000000003,3.0,4.0,0.746,0.6,3.6,4.2,2.0,2.0,0.1,2.1,1.6,15.7,-5.2,Zach Cooks,165lb,5-10
147,Marshall,91.0,67.0,31.8,5.7,10.8,0.529,5.0,8.7,0.575,0.7,2.1,0.335,2.7,3.7,0.718,1.8,3.0,4.9,2.7,0.9,0.4,1.9,1.7,14.8,-0.77,Taevion Kinsey,185lb,6-5
148,Eastern Illinois,52.0,31.0,26.3,4.7,10.8,0.431,4.0,8.5,0.467,0.7,2.3,0.297,2.1,2.8,0.733,1.1,3.3,4.4,3.8,1.7,0.5,3.7,2.3,12.0,-7.3,Marvin Johnson,190lb,6-6
149,Oklahoma State,27.0,26.0,35.4,6.5,14.8,0.438,4.2,9.1,0.461,2.3,5.7,0.4,4.9,5.8,0.846,0.7,5.5,6.2,3.5,1.6,0.8,4.0,2.5,20.1,9.78,Cade Cunningham,220lb,6-8
150,Florida International,87.0,70.0,28.3,3.9,9.3,0.423,3.3,7.0,0.473,0.7,2.4,0.277,2.8,4.2,0.6779999999999999,0.5,2.8,3.3,3.9,1.8,0.1,3.6,2.6,11.4,-1.9,Antonio Daye Jr,188lb,6-1
151,Lipscomb,95.0,59.0,23.3,5.6,10.2,0.546,5.5,10.0,0.552,0.0,0.2,0.188,1.8,3.2,0.55,2.2,5.1,7.4,2.6,0.9,0.8,2.5,2.4,13.0,-3.76,Ahsan Asadullah,265lb,6-8
152,Mercer,27.0,27.0,29.9,4.7,10.4,0.447,3.8,7.7,0.495,0.9,2.7,0.311,3.1,3.9,0.792,0.9,2.8,3.6,4.2,1.4,0.3,3.5,2.1,13.3,,Neftali Alvarez,165lb,6-2
153,UIC,22.0,18.0,33.4,5.9,13.6,0.43,5.3,11.1,0.473,0.6,2.5,0.23600000000000002,1.9,3.4,0.568,1.0,5.7,6.8,5.6,1.0,0.4,4.3,2.5,14.2,,Teyvion Kirk,185lb,6-4
154,Arkansas,32.0,32.0,29.5,4.1,8.5,0.485,3.3,6.1,0.541,0.8,2.4,0.342,1.9,2.7,0.713,1.1,2.8,3.8,3.8,1.1,0.4,2.6,3.0,11.0,,Jalen Tate,175lb,6-6
155,Air Force,35.0,24.0,17.4,2.4,4.7,0.5,1.9,3.3,0.578,0.5,1.4,0.32,1.0,1.9,0.529,0.6,2.1,2.7,1.3,0.6,0.6,1.6,2.9,6.2,1.62,Nikc Jackson,195lb,6-8
156,Eastern Kentucky,91.0,76.0,23.5,4.2,8.4,0.498,3.9,7.3,0.531,0.3,1.1,0.271,2.0,2.8,0.718,1.9,3.3,5.2,0.8,1.2,0.8,1.6,3.4,10.6,-5.05,Tre King,225lb,6-9
157,UCLA,92.0,56.0,20.4,3.2,6.3,0.516,3.2,6.0,0.53,0.1,0.3,0.222,1.6,2.8,0.589,1.3,3.3,4.7,0.9,0.3,0.6,1.7,2.8,8.1,8.78,Cody Riley,225lb,6-9
158,West Virginia,57.0,2.0,18.0,0.8,2.2,0.355,0.8,2.1,0.368,0.0,0.1,0.14300000000000002,0.8,1.7,0.464,1.7,2.6,4.3,2.0,1.3,0.4,1.3,3.2,2.4,,Gabe Osabuohien,235lb,6-7
159,Marquette,56.0,52.0,29.3,2.9,8.0,0.363,1.6,3.9,0.41600000000000004,1.3,4.1,0.313,2.8,3.4,0.813,0.3,4.1,4.3,3.1,0.6,0.1,2.6,3.4,9.9,,Koby McEwen,205lb,6-4
160,Alabama-Birmingham,29.0,29.0,26.0,2.8,5.5,0.513,2.8,5.5,0.513,0.0,0.0,,1.5,2.1,0.6940000000000001,2.5,4.4,6.9,1.0,0.6,2.1,1.6,3.2,7.1,,Trey Jemison,260lb,7-0
161,LSU,94.0,61.0,21.2,3.3,6.7,0.498,2.1,3.2,0.657,1.2,3.5,0.355,1.1,1.5,0.754,2.2,3.9,6.1,0.6,0.8,0.3,0.8,2.9,9.1,8.5,Darius Days,245lb,6-7
162,Oral Roberts,84.0,45.0,17.7,1.4,3.6,0.399,0.6,1.0,0.565,0.9,2.6,0.335,0.3,0.5,0.511,0.8,2.1,3.0,0.9,0.4,0.5,0.8,2.1,4.0,-1.18,Francis Lacis,215lb,6-7
163,Nicholls State,113.0,62.0,15.0,2.0,3.6,0.547,1.9,3.4,0.575,0.0,0.3,0.172,0.5,0.8,0.622,1.4,2.0,3.5,0.9,0.5,1.2,1.1,2.6,4.5,-6.89,Ryghe Lyons,280lb,6-11
164,Missouri State,52.0,39.0,25.2,5.9,10.9,0.5429999999999999,5.9,10.9,0.545,0.0,0.1,0.25,3.2,4.2,0.759,2.6,4.3,6.8,2.2,0.9,1.0,2.1,2.5,15.1,0.34,Gaige Prim,235lb,6-8
165,Abilene Christian,60.0,45.0,24.0,1.4,3.7,0.385,0.9,1.7,0.51,0.6,2.0,0.27699999999999997,1.2,1.8,0.636,0.7,2.6,3.3,3.2,1.5,0.2,1.6,1.8,4.6,,Reggie Miller,150lb,6-0
166,Loyola (IL),117.0,83.0,26.3,2.5,5.6,0.446,1.2,2.2,0.5670000000000001,1.3,3.5,0.37,1.2,1.7,0.7040000000000001,0.5,3.0,3.5,1.6,1.2,0.3,1.2,2.1,7.5,0.89,Lucas Williamson,205lb,6-4
167,Houston,91.0,48.0,23.2,3.2,7.5,0.424,2.6,5.7,0.461,0.5,1.8,0.307,2.5,3.4,0.736,0.8,3.7,4.5,3.8,0.8,0.5,2.4,2.4,9.4,,Dejon Jarreau,185lb,6-5
168,Wisconsin,52.0,23.0,20.3,4.2,8.2,0.512,3.0,5.2,0.57,1.2,2.9,0.408,2.0,2.4,0.847,1.7,4.3,6.1,1.0,0.5,0.8,1.4,1.9,11.6,,Micah Potter,248lb,6-10
169,Michigan,55.0,55.0,31.2,4.3,9.3,0.465,2.9,5.0,0.583,1.4,4.3,0.325,2.0,2.4,0.835,0.8,5.3,6.1,2.0,1.3,0.8,1.4,2.4,12.0,11.21,Franz Wagner,220lb,6-9
170,Oregon,54.0,54.0,32.0,5.3,11.2,0.473,3.3,5.9,0.555,2.0,5.3,0.38,2.3,2.9,0.8029999999999999,1.1,4.0,5.1,2.1,1.8,0.7,1.9,1.5,14.9,9.37,Chris Duarte,190lb,6-6
171,Virginia,25.0,25.0,34.2,5.9,11.7,0.503,3.4,5.6,0.596,2.5,6.0,0.41700000000000004,1.7,1.9,0.8959999999999999,0.8,6.0,6.8,1.8,0.6,0.4,1.0,1.6,16.0,,Sam Hauser,218lb,6-8
172,Memphis,21.0,20.0,26.1,4.2,8.4,0.4970000000000001,3.5,6.9,0.507,0.7,1.6,0.455,2.6,3.7,0.6920000000000001,2.3,3.5,5.8,3.4,2.2,0.5,3.0,3.3,11.7,,Deandre Williams,190lb,6-9
173,Kentucky,25.0,18.0,20.8,3.0,5.5,0.54,3.0,5.4,0.5479999999999999,0.0,0.1,0.0,2.5,3.6,0.7,2.1,4.5,6.6,0.7,0.8,2.6,1.5,3.0,8.4,11.49,Isaiah Jackson,206lb,6-10
174,VCU,50.0,11.0,14.7,1.9,3.3,0.595,1.9,3.1,0.618,0.0,0.1,0.0,0.9,1.2,0.721,1.0,2.6,3.6,0.7,0.4,1.5,0.9,1.8,4.8,4.42,Hason Ward,200lb,6-9
175,UConn,106.0,41.0,16.0,1.8,3.4,0.518,1.7,3.2,0.53,0.1,0.2,0.348,0.8,1.2,0.628,1.5,2.1,3.6,0.6,0.5,1.3,0.7,1.9,4.3,6.08,Isaiah Whaley,230lb,6-9
176,Ole Miss,58.0,33.0,17.4,1.7,3.8,0.445,1.3,2.6,0.52,0.4,1.2,0.292,0.9,1.3,0.667,1.2,2.8,3.9,1.4,0.9,0.4,0.9,1.8,4.6,7.01,Luis Rodriguez,210lb,6-6
177,Bellarmine,19.0,19.0,30.4,4.0,8.4,0.478,1.6,2.9,0.545,2.4,5.5,0.442,1.8,2.1,0.872,0.3,1.9,2.2,1.8,0.9,0.2,0.5,1.6,12.2,-5.56,CJ Fleming,180lb,6-0
178,Southern Utah,88.0,41.0,20.3,2.9,6.0,0.481,2.2,3.8,0.565,0.7,2.2,0.335,1.6,2.3,0.693,1.8,3.3,5.1,0.6,0.6,0.6,0.8,2.1,8.1,-4.79,Maizen Fausett,225lb,6-6
179,Georgia State,20.0,18.0,27.6,4.6,7.5,0.617,4.6,7.5,0.617,0.0,0.0,,2.5,4.1,0.598,4.3,5.9,10.1,0.9,0.4,1.4,0.9,2.2,11.7,,Eliel Nsoseme,225lb,6-8
180,Alabama-Birmingham,25.0,18.0,28.3,4.1,8.9,0.457,3.5,6.9,0.506,0.6,2.0,0.294,2.1,3.8,0.542,0.6,4.7,5.3,1.6,2.1,0.3,1.4,1.5,10.8,,Quan Jackson,183lb,6-4
181,Abilene Christian,94.0,49.0,19.4,1.7,4.6,0.376,1.1,2.5,0.451,0.6,2.1,0.284,0.8,1.1,0.737,0.4,1.5,1.9,2.4,1.2,0.0,1.3,1.8,4.8,-6.86,Damien Daniels,140lb,5-7
182,UC-Irvine,129.0,60.0,15.7,2.6,4.8,0.536,2.6,4.8,0.5379999999999999,0.0,0.0,0.25,1.0,1.4,0.677,1.8,3.5,5.4,0.5,0.3,1.1,0.9,2.5,6.2,-1.52,Brad Greene,270lb,6-11
183,Jackson State,50.0,41.0,29.3,6.3,15.7,0.401,4.5,9.8,0.45799999999999996,1.8,5.9,0.305,4.0,5.2,0.762,1.0,3.1,4.1,1.7,1.4,0.4,2.8,1.9,18.4,,Tristan Jarrett,195lb,6-4
184,Northern Arizona,82.0,77.0,32.4,4.4,10.9,0.404,3.7,8.8,0.418,0.7,2.1,0.345,3.9,5.4,0.727,1.3,4.1,5.4,3.6,1.4,0.1,2.4,2.2,13.5,-3.41,Cameron Shelton,180lb,6-2
185,Hampton,59.0,51.0,30.7,5.2,11.1,0.467,3.9,7.1,0.5489999999999999,1.3,4.1,0.325,3.1,4.4,0.72,1.6,4.7,6.2,2.2,1.3,0.6,2.7,2.9,14.9,-7.54,Davion Warren,210lb,6-6
186,UNLV,87.0,38.0,23.6,4.8,11.1,0.429,3.7,7.7,0.478,1.1,3.4,0.319,1.7,2.6,0.667,1.0,3.2,4.2,1.6,0.7,0.1,1.7,2.0,12.4,2.08,Bryce Hamilton,205lb,6-4
187,Kent State,113.0,82.0,22.5,3.5,8.6,0.405,2.2,4.5,0.479,1.3,4.0,0.322,2.2,2.9,0.7709999999999999,1.9,4.2,6.1,1.2,0.4,1.3,1.9,2.5,10.5,-1.5,Danny Pippen,222lb,6-9
188,Sacred Heart,16.0,11.0,21.0,2.9,6.3,0.455,2.9,6.3,0.455,0.0,0.0,,1.4,2.4,0.564,3.3,5.6,8.9,0.3,0.3,0.7,1.3,2.9,7.1,,Cantavio Dutreil,210lb,6-7
189,Dayton,50.0,23.0,15.4,1.9,3.0,0.623,1.9,2.9,0.644,0.0,0.1,0.0,1.0,1.7,0.565,1.3,3.5,4.8,0.5,0.3,0.5,1.4,2.7,4.7,,Jordy Tshimanga,278lb,6-11
190,Penn State,115.0,65.0,16.1,1.5,2.7,0.568,1.5,2.7,0.573,0.0,0.0,0.0,1.3,2.0,0.6509999999999999,2.2,2.5,4.6,0.7,0.5,0.2,0.7,2.2,4.4,10.61,John Harrar,240lb,6-9
191,UT-Martin,21.0,12.0,27.3,4.7,11.2,0.41700000000000004,4.2,9.3,0.451,0.5,1.9,0.25,5.0,7.0,0.726,4.0,4.3,8.3,2.0,1.7,0.3,2.0,3.0,14.9,-5.89,Cameron Holden,200lb,6-5
192,Coastal Carolina,26.0,25.0,25.0,4.7,8.4,0.56,4.7,8.3,0.56,0.0,0.1,0.5,2.7,4.5,0.602,3.6,5.3,8.9,0.8,0.5,0.8,1.6,2.0,12.2,-7.6,Essam Mostafa,250lb,6-9
193,Southern,64.0,50.0,25.9,3.3,6.3,0.526,3.1,5.6,0.5529999999999999,0.2,0.7,0.311,1.5,2.3,0.667,0.8,2.2,3.0,3.5,1.4,0.1,2.4,2.8,8.3,-9.98,Jayden Saddler,195lb,6-1
194,Pitt,84.0,81.0,31.4,4.3,10.7,0.402,3.2,7.4,0.431,1.1,3.3,0.336,4.0,5.2,0.7609999999999999,0.8,2.9,3.7,4.9,1.5,0.2,3.6,2.8,13.7,6.92,Xavier Johnson,200lb,6-3
195,Georgia Southern,24.0,21.0,26.9,3.7,9.2,0.40299999999999997,2.3,5.1,0.44299999999999995,1.5,4.1,0.354,2.1,3.3,0.638,0.6,3.0,3.5,3.1,2.2,0.1,2.4,1.9,11.0,-6.26,Eric Boone,190lb,6-2
196,UNC Asheville,51.0,39.0,25.3,3.5,7.8,0.445,3.0,5.7,0.519,0.5,2.1,0.248,2.2,3.1,0.688,0.3,2.2,2.5,2.7,1.8,0.2,2.4,3.1,9.7,,Lavar Batts Jr.,185lb,6-3
197,William & Mary,46.0,6.0,10.9,0.9,1.8,0.518,0.9,1.8,0.524,0.0,0.0,0.0,0.4,0.8,0.474,1.1,1.9,3.0,0.3,0.2,1.2,0.5,0.8,2.3,-3.06,Mehkel Harvey,225lb,6-9
198,Sacramento State,39.0,17.0,19.9,1.8,4.7,0.388,0.3,1.0,0.308,1.5,3.7,0.41,0.3,0.4,0.75,0.2,1.4,1.6,0.6,0.2,0.0,0.2,1.0,5.5,-3.2,William FitzPatrick,200lb,6-3
199,UConn,102.0,60.0,21.2,2.1,5.5,0.392,0.8,2.0,0.411,1.3,3.5,0.381,1.0,1.4,0.7390000000000001,0.7,1.2,2.0,0.4,0.3,0.4,0.5,1.5,6.6,6.08,Tyler Polley,215lb,6-9
200,Wyoming,25.0,4.0,22.6,2.4,6.2,0.381,0.3,0.6,0.5,2.1,5.6,0.369,0.6,0.7,0.882,0.2,2.5,2.7,0.8,0.5,0.3,0.3,1.0,7.4,-2.31,Drake Jeffries,185lb,6-5
201,San Jose State,64.0,14.0,15.0,1.2,3.7,0.326,0.4,1.3,0.321,0.8,2.4,0.329,0.6,0.9,0.633,0.3,0.8,1.1,0.7,0.3,0.0,0.3,0.6,3.8,2.24,Trey Smith,195lb,6-3
202,Merrimack,49.0,49.0,27.0,2.5,6.1,0.412,0.6,1.1,0.528,2.0,5.1,0.387,0.6,0.9,0.6890000000000001,0.1,2.8,2.8,0.9,0.9,0.1,0.5,1.5,7.7,-7.6,Devin Jensen,225lb,6-5
203,Iowa,52.0,52.0,26.6,3.1,6.4,0.479,1.5,3.0,0.494,1.6,3.4,0.466,1.1,1.5,0.7440000000000001,0.4,1.1,1.5,2.3,0.5,0.2,0.8,1.3,8.8,10.53,CJ Fredrick,195lb,6-3
204,UMass,111.0,100.0,32.0,4.1,10.4,0.399,1.6,3.7,0.428,2.6,6.7,0.384,1.3,1.7,0.774,0.5,2.2,2.7,1.4,0.6,0.1,0.9,2.0,12.2,1.44,Carl Pierre,190lb,6-4
205,Alabama-Birmingham,29.0,25.0,28.7,5.0,12.3,0.406,3.8,8.0,0.481,1.2,4.3,0.27,2.0,2.5,0.8190000000000001,0.5,2.1,2.6,1.3,0.9,0.1,0.9,1.3,13.2,,Michael Ertel,190lb,6-2
206,Evansville,121.0,59.0,24.2,2.3,5.8,0.393,0.9,2.1,0.444,1.4,3.7,0.364,0.8,1.1,0.74,0.4,1.6,2.0,0.8,0.4,0.1,0.8,1.0,6.7,0.52,Noah Frederking,210lb,6-4
207,Seattle,23.0,18.0,35.8,6.4,15.6,0.41200000000000003,4.4,9.9,0.449,2.0,5.7,0.348,5.6,6.5,0.866,0.6,3.2,3.8,5.3,2.0,0.3,3.4,2.5,20.5,-3.51,Darrion Trammell,165lb,5-10
